sample_name,read_type,source_type,file_path_1,file_path_2,checksum_1,checksum_2
SRR20081827,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/027/SRR20081827/SRR20081827_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/027/SRR20081827/SRR20081827_2.fastq.gz,8be7d5e174e5714bd460427961656406,f1dbf39224664c6d6bb269bb369b1aac
SRR20081823,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/023/SRR20081823/SRR20081823_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/023/SRR20081823/SRR20081823_2.fastq.gz,2b9fb085a67cce818d1c97ca28fc627d,182f43b3a1ad197f4ad325dcd134a352
SRR20081822,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/022/SRR20081822/SRR20081822_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/022/SRR20081822/SRR20081822_2.fastq.gz,057217ad84e0337c46ac5cd24fd50e8e,900facfe7d95bff58c19162005043b14
SRR20081820,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/020/SRR20081820/SRR20081820_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/020/SRR20081820/SRR20081820_2.fastq.gz,f62f72ebcbc3adde6a339b317b6c3d48,22635a8535a1147df618f3111e5bebfc
SRR26338096,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/096/SRR26338096/SRR26338096_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/096/SRR26338096/SRR26338096_2.fastq.gz,d254a1d1d59b0bee4221a438fc0787e2,9fcb2b0aea84d256aaf1c4119639334e
SRR26338095,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/095/SRR26338095/SRR26338095_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/095/SRR26338095/SRR26338095_2.fastq.gz,11cc2f4d1b22124988af7b439ccba272,8937b06c3036e0eacb62ef9fd1277918
SRR26338094,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/094/SRR26338094/SRR26338094_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/094/SRR26338094/SRR26338094_2.fastq.gz,a2cc2cc09c13d84e0cd31d829a6223f3,61098aab144b60b3a1bcc0e9b7ac3717
SRR26338093,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/093/SRR26338093/SRR26338093_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/093/SRR26338093/SRR26338093_2.fastq.gz,d16405a1ea62ae7dc94c8cc8b1281eac,7c2970983d1a442faecb0728c330ede8
SRR26338092,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/092/SRR26338092/SRR26338092_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/092/SRR26338092/SRR26338092_2.fastq.gz,d42561f8717309aad4ab2b1a86bdc665,06304f0523bb34c8f2e0a43bef7ccbf0
SRR26338091,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/091/SRR26338091/SRR26338091_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/091/SRR26338091/SRR26338091_2.fastq.gz,c7847ee8cca8bbbfd97dc0f1abfd3b5c,0086cbe42c06354e6e26ce3949381d14
SRR26338090,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/090/SRR26338090/SRR26338090_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/090/SRR26338090/SRR26338090_2.fastq.gz,3076bcfa31c5dd624d8a8bffc23f3490,9c70ddf5b3452ccbfb2d923feee09ce3
SRR26338089,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/089/SRR26338089/SRR26338089_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/089/SRR26338089/SRR26338089_2.fastq.gz,42c40daca5720ee3717d59ba94e1f500,c07127a618638df250b66562fe75add9
SRR26338088,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/088/SRR26338088/SRR26338088_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/088/SRR26338088/SRR26338088_2.fastq.gz,4f49af1e9d4ce689dcc735997a9a438f,2a30fae0cf56c76e5cdee58bee9df98c
SRR26338087,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/087/SRR26338087/SRR26338087_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/087/SRR26338087/SRR26338087_2.fastq.gz,b7e1343b440f598eab034cf883b84f3f,ec35c03ed73eeaef81dd0aae15ae45bc
SRR26338086,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/086/SRR26338086/SRR26338086_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/086/SRR26338086/SRR26338086_2.fastq.gz,0844255bd3708a7d375d1ba7a0a2f690,9e61b4bb86dabf574a1977a6f52d9e31
SRR26338085,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/085/SRR26338085/SRR26338085_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/085/SRR26338085/SRR26338085_2.fastq.gz,50513060ecf52531cd6d42aec7cc4bf7,b7ed15f0670e2a01c8044c5f2bb145bc
SRR5253722,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR525/002/SRR5253722/SRR5253722_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR525/002/SRR5253722/SRR5253722_2.fastq.gz,5da889a455274c1b147bb1e0208abd6a,5dcaf0c46936ca4b974ad96d92db0e06
SRR5253723,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR525/003/SRR5253723/SRR5253723_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR525/003/SRR5253723/SRR5253723_2.fastq.gz,4ba49456134e6baa8ae2cc5bf5f4e091,cb8c2565056b45f43b5ffa5ed96c079a
SRR5314671,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/001/SRR5314671/SRR5314671.fastq.gz,,7b0f3bc9358131d95cc817974ffdcf8f,
SRR5314672,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/002/SRR5314672/SRR5314672.fastq.gz,,9bdfb9f08c578e7ada232471563ab152,
SRR5315219,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/009/SRR5315219/SRR5315219.fastq.gz,,a57d62a5ab772ea3b65d7f1ee31c4388,
SRR5315220,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR531/000/SRR5315220/SRR5315220.fastq.gz,,79b401f73620dac6035e967084c6612c,
SRR7401112,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/002/SRR7401112/SRR7401112.fastq.gz,,4733e926e50231f082e4f1de50c91a0c,
SRR7401111,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/001/SRR7401111/SRR7401111.fastq.gz,,cd49f4cb587e4e45ff2f64c047d90088,
SRR7401110,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/000/SRR7401110/SRR7401110_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/000/SRR7401110/SRR7401110_2.fastq.gz,7d4f068f6e5622d2b97793ed2ea9fff2,ae13e3e9191b5b9fde074a3bb030dfdd
SRR7401109,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/009/SRR7401109/SRR7401109_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/009/SRR7401109/SRR7401109_2.fastq.gz,6fb53cafbed390e1b3d0647e6dd4e62c,ec3cef25af90936c3d05b2007683c022
SRR7653086,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7653086/SRR7653086.fastq.gz,,a9aecf73d0e2a3057a7db2d51203a1ed,
SRR7653087,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7653087/SRR7653087.fastq.gz,,adb6233b2f0820d6b86505ab17ece88a,
SRR7653088,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7653088/SRR7653088.fastq.gz,,17273ff1349d31ff9f1b0bb055c3eb00,
SRR7653089,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7653089/SRR7653089.fastq.gz,,89b24eaec20b4af64faf2f761765bd52,
SRR7653090,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7653090/SRR7653090.fastq.gz,,7acc37025f78459e7a415d6532585708,
